"experiment_id"	"Harvest.Date"	"Run"	"Plate"	"Column"	"Row"	"species"	"normalized_OD"	"qpcr_4plex_Cy5.356."	"qpcr_3plex_TR.360."	"qpcr_3plex_FAM.361."	"qpcr_4plex_FAM.492."	"qpcr_3plex_HEX.500."	"qpcr_4plex_TR.502."	"qpcr_4plex_HEX.519."	"nmr_row"	"nmr_column"	"nmr_rack"	"nmr_position"
"114A"	"1/10/2017"	"1"	1	4	"A"	"492"	0.087266674	NA	9.28224e-05	1.48487e-05	5.83984932	NA	8.4191e-06	1.78258e-05	"B"	6	1	"1B6"
"212A"	"1/11/2017"	"2"	1	2	"A"	"360"	0.016958329	1.52962e-05	1.72686382	9.07127e-06	NA	NA	1.66402e-05	8.8307e-06	"B"	7	1	"1B7"
"264A"	"1/11/2017"	"2"	6	4	"A"	"492,502"	0.09855834	NA	NA	NA	1.707326431	NA	0.013967535	NA	"B"	8	1	"1B8"
"272A"	"1/11/2017"	"2"	7	2	"A"	"500,502"	0.03255834	0	NA	NA	2.9095e-05	4.143949605	0.009856636	2.16082e-05	"B"	9	1	"1B9"
"172A"	"1/10/2017"	"1"	7	2	"A"	"500,502"	0.02216666	9.15289e-09	NA	2.14677e-05	NA	2.742680253	0.744853331	0.000661716	"B"	10	1	"1B10"
"223A"	"1/11/2017"	"2"	2	3	"A"	"519"	0.26525833	NA	NA	NA	NA	NA	NA	46.85601681	"B"	11	1	"1B11"
"253A"	"1/11/2017"	"2"	5	3	"A"	"361,492"	0.030158329	NA	1.10191e-05	1.484165757	0.081425426	NA	0.000371344	0.001391394	"B"	12	1	"1B12"
"154A"	"1/10/2017"	"1"	5	4	"A"	"361,500"	0.020266673	1.84809e-07	3.2622e-05	2.017756989	NA	0.030030061	NA	0.000191964	"C"	1	1	"1C1"
"281A"	"1/11/2017"	"2"	8	1	"A"	"0"	0.004266664	NA	NA	NA	NA	NA	NA	8.98137e-05	"C"	2	1	"1C2"
"133A"	"1/10/2017"	"1"	3	3	"A"	"356,500"	0.181066653	4.243428663	NA	NA	NA	0.013294727	NA	3.95279e-05	"C"	3	1	"1C3"
"214A"	"1/11/2017"	"2"	1	4	"A"	"492"	0.064658332	NA	NA	NA	21.55323353	NA	NA	1.34969e-05	"C"	4	1	"1C4"
"234A"	"1/11/2017"	"2"	3	4	"A"	"356,502"	0.187858331	3.013336774	NA	9.93538e-06	NA	NA	0.009095911	0.001165996	"C"	5	1	"1C5"
"132A"	"1/10/2017"	"1"	3	2	"A"	"356,492"	0.174366673	8.008539518	NA	9.32303e-06	0.204072995	NA	NA	6.50068e-06	"C"	6	1	"1C6"
"251A"	"1/11/2017"	"2"	5	1	"A"	"360,502"	0.017258334	0	0.953492115	NA	NA	5.58474e-05	0.009750789	NA	"C"	7	1	"1C7"
"163A"	"1/10/2017"	"1"	6	3	"A"	"492,500"	0.091366669	3.2342e-09	NA	3.18374e-05	3.50847049	0.055710738	NA	2.56322e-05	"C"	8	1	"1C8"
"231A"	"1/11/2017"	"2"	3	1	"A"	"356,361"	0.034958336	0.134205008	NA	0.703731729	NA	NA	NA	0.00011372	"C"	9	1	"1C9"
"173A"	"1/10/2017"	"1"	7	3	"A"	"500,519"	0.268866679	2.44791e-08	NA	4.03124e-05	NA	0.05003015	5.29599e-05	85.54200448	"C"	10	1	"1C10"
"221A"	"1/11/2017"	"2"	2	1	"A"	"500"	0.048758331	NA	NA	NA	NA	2.191307397	NA	NA	"C"	11	1	"1C11"
"181A"	"1/10/2017"	"1"	8	1	"A"	"0"	0.000899998	1.1305e-07	NA	1.81366e-05	NA	NA	NA	7.92824e-05	"C"	12	1	"1C12"
"111A"	"1/10/2017"	"1"	1	1	"A"	"356"	0.164566657	1.737581283	NA	NA	NA	NA	NA	0.00014167	"D"	1	1	"1D1"
"141A"	"1/10/2017"	"1"	4	1	"A"	"356,519"	0.305566659	10.80456512	NA	NA	NA	8.44225e-05	NA	67.51722317	"D"	2	1	"1D2"
"174A"	"1/10/2017"	"1"	7	4	"A"	"502,519"	0.297766676	1.76255e-08	NA	4.09974e-05	NA	NA	0.033517824	62.9834242	"D"	3	1	"1D3"
"123A"	"1/10/2017"	"1"	2	3	"A"	"519"	0.241066655	NA	NA	0.000333054	NA	0.000223928	8.13478e-06	113.4997162	"D"	4	1	"1D4"
"232A"	"1/11/2017"	"2"	3	2	"A"	"356,492"	0.187458325	2.511186654	NA	1.85518e-05	0.26717011	NA	NA	NA	"D"	5	1	"1D5"
"143A"	"1/10/2017"	"1"	4	3	"A"	"360,492"	0.036166674	NA	1.298926131	2.82531e-05	3.10574022	NA	NA	6.36017e-06	"D"	6	1	"1D6"
"311A"	"1/12/2017"	"3"	1	1	"A"	"356"	0.192091653	7.573429193	NA	NA	NA	NA	NA	5.08355e-06	"D"	7	1	"1D7"
"241A"	"1/11/2017"	"2"	4	1	"A"	"356,519"	0.304358322	5.510818678	NA	NA	NA	NA	NA	103.7898345	"D"	8	1	"1D8"
"271A"	"1/11/2017"	"2"	7	1	"A"	"492,519"	0.31925832	NA	NA	NA	0.348443445	NA	4.63948e-06	180.3855821	"D"	9	1	"1D9"
"131A"	"1/10/2017"	"1"	3	1	"A"	"356,361"	0.037366664	0.329621799	NA	2.267495943	NA	3.16066e-05	NA	NA	"D"	10	1	"1D10"
"274A"	"1/11/2017"	"2"	7	4	"A"	"502,519"	0.30865832	NA	NA	NA	NA	NA	0.032398923	183.2846639	"D"	11	1	"1D11"
"112A"	"1/10/2017"	"1"	1	2	"A"	"360"	0.012466675	1.04556e-05	1.239476254	1.66475e-05	5.61243e-05	NA	2.13244e-05	NA	"D"	12	1	"1D12"
"162A"	"1/10/2017"	"1"	6	2	"A"	"361,519"	0.122366672	4.32577e-08	3.44861e-05	0.880325251	NA	NA	4.927e-05	19.75185179	"E"	1	1	"1E1"
"252A"	"1/11/2017"	"2"	5	2	"A"	"360,519"	0.246558327	NA	0.819733955	NA	NA	NA	NA	113.2172197	"E"	2	1	"1E2"
"222A"	"1/11/2017"	"2"	2	2	"A"	"502"	0.002858336	NA	NA	NA	NA	NA	0.002487516	NA	"E"	3	1	"1E3"
"122A"	"1/10/2017"	"1"	2	2	"A"	"502"	0.020666664	4.58684e-05	NA	1.53067e-05	NA	0.001449962	0.65933905	0.000223355	"E"	4	1	"1E4"
"153A"	"1/10/2017"	"1"	5	3	"A"	"361,492"	0.021766668	2.30798e-06	1.07881e-05	1.697428602	0.053414064	3.3831e-05	NA	1.33857e-05	"E"	5	1	"1E5"
"142A"	"1/10/2017"	"1"	4	2	"A"	"360,361"	0.033766663	7.00222e-05	0.355984584	3.268423385	NA	NA	NA	0.000107055	"E"	6	1	"1E6"
"161A"	"1/10/2017"	"1"	6	1	"A"	"361,502"	0.023966661	NA	NA	1.43149194	NA	NA	0.031431455	0.000192095	"E"	7	1	"1E7"
"262A"	"1/11/2017"	"2"	6	2	"A"	"361,519"	0.155258346	NA	NA	3.109580535	NA	NA	NA	70.97545021	"E"	8	1	"1E8"
"152A"	"1/10/2017"	"1"	5	2	"A"	"360,519"	0.238866678	2.65647e-08	0.775144587	1.58226e-05	NA	NA	NA	105.2233181	"E"	9	1	"1E9"
"254A"	"1/11/2017"	"2"	5	4	"A"	"361,500"	0.022958326	NA	6.56437e-05	3.014919781	NA	0.106996253	NA	NA	"E"	10	1	"1E10"
"121A"	"1/10/2017"	"1"	2	1	"A"	"500"	0.047366669	1.47939e-05	NA	NA	NA	11.0020109	NA	1.02794e-05	"E"	11	1	"1E11"
"113A"	"1/10/2017"	"1"	1	3	"A"	"361"	0.034466675	4.04589e-05	0.000281182	1.850695147	NA	NA	NA	6.96601e-05	"E"	12	1	"1E12"
"131B"	"1/10/2017"	"1"	3	1	"B"	"356,361"	0.045166662	0.260317749	NA	1.074916143	NA	8.76758e-05	NA	NA	"F"	1	1	"1F1"
"172B"	"1/10/2017"	"1"	7	2	"B"	"500,502"	0.018766662	0	3.43473e-05	0.000249053	NA	2.234738479	0.571768919	0.000240354	"F"	2	1	"1F2"
"313A"	"1/12/2017"	"3"	1	3	"A"	"361"	0.025791669	NA	2.5476e-05	0.782938773	NA	4.7374e-05	NA	4.27183e-05	"F"	3	1	"1F3"
"124B"	"1/10/2017"	"1"	2	4	"B"	"356,360"	0.184566667	1.891932321	0.076680625	NA	NA	NA	NA	0.001017632	"F"	4	1	"1F4"
"151B"	"1/10/2017"	"1"	5	1	"B"	"360,502"	0.008166661	1.79249e-09	1.86827046	NA	NA	NA	0.066006584	NA	"F"	5	1	"1F5"
"372C"	"1/12/2017"	"3"	7	2	"C"	"500,502"	0.042591671	0.022043794	NA	NA	NA	6.635532494	0.0112109	0.000115553	"F"	6	1	"1F6"
"344A"	"1/12/2017"	"3"	4	4	"A"	"360,500"	0.005091669	NA	0.513199613	NA	NA	0.084806524	NA	NA	"F"	7	1	"1F7"
"332A"	"1/12/2017"	"3"	3	2	"A"	"356,492"	0.168091664	2.708895401	NA	NA	0.003665863	3.85983e-05	NA	NA	"F"	8	1	"1F8"
"351A"	"1/12/2017"	"3"	5	1	"A"	"360,502"	0.011591667	0.035529506	0.912363261	NA	NA	NA	0.009879866	NA	"F"	9	1	"1F9"
"331A"	"1/12/2017"	"3"	3	1	"A"	"356,361"	0.022491673	0.046454708	NA	0.514375166	NA	NA	NA	4.66292e-06	"F"	10	1	"1F10"
"162B"	"1/10/2017"	"1"	6	2	"B"	"361,519"	0.13016667	1.83648e-08	NA	0.596146569	NA	NA	1.55418e-05	20.75966185	"F"	11	1	"1F11"
"154B"	"1/10/2017"	"1"	5	4	"B"	"361,500"	0.019666662	3.6437e-08	NA	1.855252201	NA	0.026908032	NA	NA	"F"	12	1	"1F12"
"113B"	"1/10/2017"	"1"	1	3	"B"	"361"	0.02536667	4.34927e-05	NA	1.059194297	NA	NA	NA	2.88459e-05	"G"	1	1	"1G1"
"132B"	"1/10/2017"	"1"	3	2	"B"	"356,492"	0.174266657	5.548036794	NA	NA	0.337540301	NA	NA	NA	"G"	2	1	"1G2"
"343A"	"1/12/2017"	"3"	4	3	"A"	"360,492"	0.015191669	1.39471e-07	0.680508961	NA	0.155573046	NA	NA	NA	"G"	3	1	"1G3"
"141B"	"1/10/2017"	"1"	4	1	"B"	"356,519"	0.29126667	14.81213219	NA	3.41698e-05	NA	5.27853e-05	NA	121.6510112	"G"	4	1	"1G4"
"161B"	"1/10/2017"	"1"	6	1	"B"	"361,502"	0.029166674	NA	NA	1.354698145	NA	NA	0.026523785	0.000113966	"G"	5	1	"1G5"
"322A"	"1/12/2017"	"3"	2	2	"A"	"502"	0.004891666	NA	NA	NA	NA	1.0719e-05	0.01307344	0.0001037	"G"	6	1	"1G6"
"171B"	"1/10/2017"	"1"	7	1	"B"	"492,519"	0.290466657	3.08275e-09	NA	0.000271107	0.291533374	NA	6.21052e-06	137.8698989	"G"	7	1	"1G7"
"114B"	"1/10/2017"	"1"	1	4	"B"	"492"	0.080066672	1.00492e-05	5.59407e-05	NA	3.890805949	NA	NA	3.4051e-06	"G"	8	1	"1G8"
"381C"	"1/12/2017"	"3"	8	1	"C"	"0"	0.001741666	NA	1.01343e-05	NA	NA	1.65851e-05	NA	0.002290976	"G"	9	1	"1G9"
"411A"	"12/16/2016"	"4"	1	1	"A"	"356"	0.131341673	NA	NA	NA	NA	NA	NA	NA	"G"	10	1	"1G10"
"152B"	"1/10/2017"	"1"	5	2	"B"	"360,519"	0.234566679	1.1309e-07	0.782420069	3.55696e-05	NA	0.00011772	NA	125.0683858	"G"	11	1	"1G11"
"333A"	"1/12/2017"	"3"	3	3	"A"	"356,500"	0.165591666	5.318647844	NA	NA	2.37998e-05	0.066508071	NA	NA	"G"	12	1	"1G12"
"314A"	"1/12/2017"	"3"	1	4	"A"	"492"	0.002991663	NA	1.93065e-05	NA	0.005894189	NA	NA	8.36508e-06	"H"	1	1	"1H1"
"354A"	"1/12/2017"	"3"	5	4	"A"	"361,500"	0.015891666	4.94329e-05	NA	2.887684008	NA	0.064011843	NA	8.23569e-06	"H"	2	1	"1H2"
"323A"	"1/12/2017"	"3"	2	3	"A"	"519"	0.253691653	NA	2.6535e-05	NA	2.39916e-05	NA	NA	193.3212363	"H"	3	1	"1H3"
"421B"	"12/16/2016"	"4"	2	1	"B"	"356,519"	0.28344167	NA	NA	NA	NA	NA	NA	NA	"H"	4	1	"1H4"
"342A"	"1/12/2017"	"3"	4	2	"A"	"360,361"	0.021291668	8.7707e-06	0.062209018	0.805727894	NA	NA	NA	NA	"H"	5	1	"1H5"
"143B"	"1/10/2017"	"1"	4	3	"B"	"360,492"	0.046366667	NA	1.100117416	0.000175546	3.453364704	NA	NA	NA	"H"	6	1	"1H6"
"111B"	"1/10/2017"	"1"	1	1	"B"	"356"	0.173766663	2.395353933	NA	NA	NA	NA	NA	NA	"H"	7	1	"1H7"
"134B"	"1/10/2017"	"1"	3	4	"B"	"356,502"	0.179266682	2.091012736	NA	NA	NA	NA	0.030580922	0.000325393	"H"	8	1	"1H8"
"142B"	"1/10/2017"	"1"	4	2	"B"	"360,361"	0.035866668	2.38716e-05	0.333937209	3.045663699	NA	NA	NA	4.0926e-05	"H"	9	1	"1H9"
"374A"	"1/12/2017"	"3"	7	4	"A"	"502,519"	0.297691653	NA	3.21083e-05	NA	NA	NA	0.031534644	134.4052752	"H"	10	1	"1H10"
"412B"	"12/16/2016"	"4"	1	2	"B"	"361"	0.021941669	NA	NA	NA	NA	NA	NA	NA	"H"	11	1	"1H11"
"423B"	"12/16/2016"	"4"	2	3	"B"	"0"	0.002641663	NA	NA	NA	NA	NA	NA	NA	"H"	12	1	"1H12"
"341A"	"1/12/2017"	"3"	4	1	"A"	"356,519"	0.268391678	6.535940466	NA	NA	NA	NA	NA	102.6258956	"A"	1	2	"2A1"
