combo	metabolite
360,361	Leucine
360,492	Leucine
361,492	Leucine
361,500	Leucine
492,500	Leucine
492,500	unknown13
356,492	Methionine
356,500	Methionine
492,519	Nicotinamide
356,492	Glutamate
361,492	Glutamate
361,500	unknown5
492,500	unknown5
356,361	unknown25
500,519	Glycine
492,500	Trehalose
492,500	unknown7
361,500	unknown1
492,519	unknown4
356,492	Isopropanol
356,492	Pyroglutamate
356,500	Pyroglutamate
492,500	Pyroglutamate
492,500	unknown2
361,500	Alanine
360,361	Valine
361,492	Valine
361,500	Valine
360,361	Succinate
361,492	Succinate
361,500	Succinate
361,500	unknown33
356,492	unknown26
356,500	unknown26
492,500	unknown26
360,361	Serine
356,361	Tryptophan
356,500	Tryptophan
361,500	Tryptophan
361,500	Cystine
492,500	unknown9
356,500	Asparagine
360,492	Asparagine
361,500	Asparagine
361,492	Propionate
361,500	Propionate
492,500	Propionate
356,500	Adenine
360,519	unknown32
356,492	2-Oxoisocaproate
356,500	2-Oxoisocaproate
492,500	2-Oxoisocaproate
356,492	Phenylalanine
356,500	Phenylalanine
360,361	Phenylalanine
361,492	Phenylalanine
361,500	Phenylalanine
492,500	Phenylalanine
360,492	unknown12
360,500	unknown12
492,500	unknown12
361,492	unknown18
356,500	Tyrosine
492,500	UMP
360,492	unknown10
360,361	Threonine
360,500	Threonine
361,500	Threonine
492,519	Cytosine
492,500	unknown16
361,500	Choline
360,492	unknown8
360,500	unknown8
492,500	unknown8
492,500	Isoleucine
492,500	Isocaproate
356,492	Lysine
356,500	Lysine
360,361	Lysine
361,492	Lysine
361,500	Lysine
492,500	Lysine
492,500	Proline
361,492	unknown3
361,500	unknown3
356,492	Aspartate
356,500	Aspartate
361,492	Aspartate
361,500	Aspartate
492,500	Aspartate
