"met_ps"	"met_ts"	"diff_avgs"	"blank_avgs"	"group_avgs"	"met_order"	"species_tested"
0.00242648480167003	0	-0.00299619166666667	0.011534125	0.00853793333333333	"unknown1"	"360,519"
0.00328042275610119	71	0.00189578888888889	0.0088559	0.0107516888888889	"unknown2"	"360,519"
0.00242648480167003	0	-0.488759444444445	1.448625	0.959865555555556	"unknown3"	"360,519"
0.00242648480167003	0	-0.969844166666667	1.9524375	0.982593333333333	"Butyrate"	"360,519"
0.00242648480167003	0	-0.291411111111111	2.0534	1.76198888888889	"Isovalerate"	"360,519"
0.00242648480167003	0	-0.816431944444444	6.6506875	5.83425555555556	"Leucine"	"360,519"
0.00421931262227628	70	0.620036111111111	2.942875	3.56291111111111	"Valine"	"360,519"
0.00745883050270081	66	0.329054166666667	1.8478125	2.17686666666667	"Isoleucine"	"360,519"
0.00242648480167003	72	1.12748930555556	0.16916625	1.29665555555556	"Propionate"	"360,519"
0.0124379287467974	64	0.00583669444444444	0.02773975	0.0335764444444444	"unknown4"	"360,519"
0.00242648480167003	0	-0.274298888888889	1.00445	0.730151111111111	"Ethanol"	"360,519"
0.00571233607238004	5	-0.082771388888889	1.1952625	1.11249111111111	"Lactate"	"360,519"
0.00242648480167003	0	-0.03439825	0.12559625	0.091198	"Isocaproate"	"360,519"
0.063431663496788	57	0.00611986111111112	0.25060125	0.256721111111111	"unknown5"	"360,519"
0.00242648480167003	72	0.904243055555556	3.0553125	3.95955555555556	"Alanine"	"360,519"
0.00242648480167003	0	-0.270429861111111	0.77323875	0.502808888888889	"unknown6"	"360,519"
0.00242648480167003	72	1.71195263888889	1.04943625	2.76138888888889	"Acetate"	"360,519"
0.0124379287467974	64	0.0859347222222222	1.9219875	2.00792222222222	"unknown7"	"360,519"
0.00421931262227628	70	0.0743656944444445	0.40779875	0.482164444444444	"unknown8"	"360,519"
0.00421931262227628	70	0.179783611111111	0.8231575	1.00294111111111	"Methionine"	"360,519"
0.00242648480167003	0	-0.0213025555555556	0.11873	0.0974274444444444	"unknown9"	"360,519"
0.00242648480167003	72	0.254670277777778	0.8220475	1.07671777777778	"Glutamate"	"360,519"
0.00242648480167003	0	-0.0395367222222222	0.1274625	0.0879257777777778	"Isobutyrate"	"360,519"
0.00242648480167003	72	0.575192916666667	1.03287375	1.60806666666667	"Succinate"	"360,519"
0.00242648480167003	0	-0.0385003055555556	0.13650875	0.0980084444444444	"2-Oxoisocaproate"	"360,519"
0.00242648480167003	0	-0.379456527777778	0.68841875	0.308962222222222	"Aspartate"	"360,519"
0.00242648480167003	0	-0.0361639166666667	0.14252125	0.106357333333333	"unknown10"	"360,519"
0.00242648480167003	0	-0.178162222222222	0.61577	0.437607777777778	"Asparagine"	"360,519"
0.0263701533737893	61	0.0892527777777778	2.563225	2.65247777777778	"Lysine"	"360,519"
0.00242648480167003	72	0.0625527777777778	0.192145	0.254697777777778	"Choline"	"360,519"
0.00242648480167003	72	0.799985277777778	0.5071925	1.30717777777778	"Proline"	"360,519"
0.00242648480167003	0	-0.0547509722222222	0.18085875	0.126107777777778	"Cystine"	"360,519"
0.00242648480167003	0	-0.195394083333333	0.22826375	0.0328696666666667	"unknown11"	"360,519"
0.704398832279334	41	-0.000477638888888854	0.43853875	0.438061111111111	"Glycine"	"360,519"
0.138976892485601	19	-0.0108315277777778	0.17673375	0.165902222222222	"Glycerol"	"360,519"
0.00242648480167003	0	-0.11289325	0.16562125	0.052728	"unknown12"	"360,519"
0.00242648480167003	0	-0.168636944444444	0.9588925	0.790255555555556	"unknown13"	"360,519"
0.00242648480167003	0	-0.112970555555556	0.245945	0.132974444444444	"unknown14"	"360,519"
0.00242648480167003	0	-0.114988888888889	0.42014	0.305151111111111	"Betaine"	"360,519"
0.00242648480167003	0	-0.152871805555555	0.74303625	0.590164444444444	"Serine"	"360,519"
0.00242648480167003	0	-0.06212875	0.18878875	0.12666	"Isopropanol"	"360,519"
0.00242648480167003	0	-0.687759722222222	2.0581375	1.37037777777778	"Pyroglutamate"	"360,519"
0.00242648480167003	0	-0.4252225	1.4442125	1.01899	"Threonine"	"360,519"
0.00242648480167003	0	-0.335477722222222	0.341185	0.00570727777777778	"Trehalose"	"360,519"
0.00242648480167003	0	-0.0556663611111111	0.06179225	0.00612588888888889	"Lactose"	"360,519"
0.00242648480167003	72	0.00149598194444444	0.0016704625	0.00316644444444444	"unknown15"	"360,519"
0.00242648480167003	72	0.00167739027777778	0.0019162875	0.00359367777777778	"unknown16"	"360,519"
0.00242648480167003	0	-0.00337853194444444	0.0062314875	0.00285295555555556	"unknown17"	"360,519"
0.0518552592412128	14	-0.00108585972222222	0.0053636375	0.00427777777777778	"unknown18"	"360,519"
0.406569128167905	46	0.000370374999999999	0.028720625	0.029091	"Uracil"	"360,519"
0.00242648480167003	0	-0.00286804166666667	0.018366375	0.0154983333333333	"Uridine"	"360,519"
0.00242648480167003	0	-0.00101208333333333	0.00673995	0.00572786666666667	"unknown19"	"360,519"
0.00745883050270081	66	0.000765006944444444	0.0060018375	0.00676684444444444	"unknown20"	"360,519"
0.00745883050270081	66	0.000334225	0.002136575	0.0024708	"Cytosine"	"360,519"
0.230876149783806	22	-0.000212652777777778	0.003280775	0.00306812222222222	"unknown21"	"360,519"
0.00242648480167003	0	-0.00231096527777778	0.0063173875	0.00400642222222222	"Cytidine"	"360,519"
0.00242648480167003	0	-0.0484765277777778	0.06577775	0.0173012222222222	"Adenosine"	"360,519"
0.00242648480167003	0	-0.00223115694444444	0.0045500125	0.00231885555555556	"Inosine"	"360,519"
