"combo_ps"	"combo_ts"	"diff_avgs"	"observed_avgs"	"expected_avgs"	"met_order"	"combo"
0.173356834736896	60	0.000943780133422668	-0.00299619166666667	-0.00393997180008933	"unknown1"	"360,519"
0.62097092564522	32	-0.000236668439533002	0.00189578888888889	0.00213245732842189	"unknown2"	"360,519"
0.342479975943991	55	0.124443264871632	-0.488759444444445	-0.613202709316076	"unknown3"	"360,519"
0.2655857177903	57	0.339635273163368	-0.969844166666667	-1.30947943983003	"Butyrate"	"360,519"
0.0946450292505279	64	0.160216055044923	-0.291411111111111	-0.451627166156034	"Isovalerate"	"360,519"
0.229923901217406	58	0.19605052622226	-0.816431944444445	-1.0124824706667	"Leucine"	"360,519"
0.173356834736896	21	-0.249752630824101	0.620036111111111	0.869788741935212	"Valine"	"360,519"
0.111185118689196	18	-0.1753359820696	0.329054166666667	0.504390148736267	"Isoleucine"	"360,519"
0.2655857177903	24	-0.362554686900808	1.12748930555556	1.49004399245636	"Propionate"	"360,519"
0.0189771506995656	72	0.00602877211188613	0.00583669444444444	-0.000192077667441684	"unknown4"	"360,519"
0.0666387216902369	66	0.103799375338658	-0.274298888888889	-0.378098264227546	"Ethanol"	"360,519"
0.00565808824105938	0	-0.425811627499372	-0.082771388888889	0.343040238610483	"Lactate"	"360,519"
0.229923901217406	58	0.0102630258612082	-0.03439825	-0.0446612758612082	"Isocaproate"	"360,519"
0.434477454915907	28	-0.00692737585235364	0.00611986111111111	0.0130472369634648	"unknown5"	"360,519"
0.111185118689196	18	-0.453385719751246	0.904243055555556	1.3576287753068	"Alanine"	"360,519"
0.0540009723182234	67	0.113295668970556	-0.270429861111111	-0.383725530081667	"unknown6"	"360,519"
0.203997382768694	22	-0.527635164648605	1.71195263888889	2.23958780353749	"Acetate"	"360,519"
1	40	-0.0283151843359746	0.0859347222222223	0.114249906558197	"unknown7"	"360,519"
0.173356834736896	21	-0.0246721269902848	0.0743656944444445	0.0990378214347292	"unknown8"	"360,519"
0.111185118689196	18	-0.0925390893456255	0.179783611111111	0.272322700456737	"Methionine"	"360,519"
0.0775119254602217	65	0.010862583516941	-0.0213025555555556	-0.0321651390724966	"unknown9"	"360,519"
0.2655857177903	24	-0.0726829398031736	0.254670277777778	0.327353217580951	"Glutamate"	"360,519"
0.149896859419202	61	0.0137721477830479	-0.0395367222222222	-0.0533088700052702	"Isobutyrate"	"360,519"
0.296982524740581	25	-0.162314042970085	0.575192916666667	0.737506959636751	"Succinate"	"360,519"
0.029676453129444	70	0.0204988361753202	-0.0385003055555556	-0.0589991417308758	"2-Oxoisocaproate"	"360,519"
0.342479975943991	55	0.112712024256167	-0.379456527777778	-0.492168552033944	"Aspartate"	"360,519"
0.149896859419202	61	0.0102893238060302	-0.0361639166666667	-0.0464532404726969	"unknown10"	"360,519"
0.0666387216902369	66	0.0631515230326604	-0.178162222222222	-0.241313745254883	"Asparagine"	"360,519"
0.379587067844514	27	-0.0664709197906438	0.0892527777777777	0.155723697568421	"Lysine"	"360,519"
0.173356834736896	21	-0.0196371524483112	0.0625527777777778	0.0821899302260889	"Choline"	"360,519"
0.296982524740581	25	-0.246043178936308	0.799985277777778	1.04602845671409	"Proline"	"360,519"
0.0540009723182234	67	0.0209123096316151	-0.0547509722222222	-0.0756632818538373	"Cystine"	"360,519"
0.379587067844514	54	0.0602535607207154	-0.195394083333333	-0.255647644054049	"unknown11"	"360,519"
0.029676453129444	11	-0.031519991922539	-0.000477638888888872	0.0310423530336502	"Glycine"	"360,519"
0.0775119254602217	65	0.00730060751143622	-0.0108315277777778	-0.018132135289214	"Glycerol"	"360,519"
0.342479975943991	55	0.0310915624662501	-0.11289325	-0.14398481246625	"unknown12"	"360,519"
0.2655857177903	57	0.0493279328633297	-0.168636944444444	-0.217964877307774	"unknown13"	"360,519"
0.173356834736896	60	0.0377917558031233	-0.112970555555556	-0.150762311358679	"unknown14"	"360,519"
0.149896859419202	61	0.036518588980437	-0.114988888888889	-0.151507477869326	"Betaine"	"360,519"
0.229923901217406	58	0.0416372074795585	-0.152871805555556	-0.194509013035114	"Serine"	"360,519"
0.0351830664988653	69	0.0398700121621328	-0.06212875	-0.101998762162133	"Isopropanol"	"360,519"
0.0946450292505279	64	0.279805424403746	-0.687759722222222	-0.967565146625968	"Pyroglutamate"	"360,519"
0.2655857177903	57	0.114211539194753	-0.4252225	-0.539434039194753	"Threonine"	"360,519"
0.379587067844514	54	0.0890701566543501	-0.335477722222222	-0.424547878876572	"Trehalose"	"360,519"
0.0189771506995656	72	0.0348146565796877	-0.0556663611111111	-0.0904810176907989	"Lactose"	"360,519"
0.203997382768694	22	-0.000455562429574767	0.00149598194444444	0.00195154437401921	"unknown15"	"360,519"
0.567569061987164	31	-0.000145354167490065	0.00167739027777778	0.00182274444526784	"unknown16"	"360,519"
0.128514115354861	62	0.00201327646758542	-0.00337853194444444	-0.00539180841202986	"unknown17"	"360,519"
0.111185118689196	63	0.000812747791200437	-0.00108585972222222	-0.00189860751342266	"unknown18"	"360,519"
0.0237239604580018	71	0.00249386307365906	0.000370375	-0.00212348807365906	"Uracil"	"360,519"
0.62097092564522	49	0.000400149150351442	-0.00286804166666667	-0.00326819081701811	"Uridine"	"360,519"
0.0540009723182234	14	-0.000430878604509015	-0.00101208333333333	-0.000581204728824318	"unknown19"	"360,519"
0.012079811614745	3	-0.00243656078640643	0.000765006944444444	0.00320156773085088	"unknown20"	"360,519"
0.682528910672681	33	-4.57092864040462e-05	0.000334225	0.000379934286404046	"Cytosine"	"360,519"
