well	species	plate1_tecan_od	plate2_tecan_od	plate3_tecan_od	plate4_tecan_od
D5	356;500	0.2680999935	0.2574999928	0.2759000063	0.2809000015
D6	360;361	0.1492999941	0.1530999988	0.141900003	0.1671999991
D7	360;502	0.0868000016	0.0882000029	0.0798999965	0.0832000002
D8	361;500	0.1583999991	0.1636999995	0.1437000036	0.1407999992
D9	492;500	0.1726000011	0.1650999933	0.1465000063	0.1691000015
D10	500;502	0.0746999979	0.0747999996	0.0756999999	0.0741999969
D11	BLANK	0.0736000016	0.0741000026	0.0741000026	0.1000000015
D12	NA	0.0705000013	0.0709000006	0.0709000006	0.0715000033
E1	NA	0.0710999966	0.0719000027	0.0711999983	0.071800001
E2	360	0.0784000009	0.0800999999	0.0751999989	0.0781000033
E3	500	0.0778999999	0.0913999975	0.0788000003	0.0753000006
E4	356;360	0.3061000109	0.2896000147	0.2712000012	0.3075000048
E5	356;500	0.2709999979	0.2915000021	0.2944000065	0.2739000022
E6	360;361	0.1454000026	0.1509000063	0.1532000005	0.1539999992
E7	360;502	0.1020999998	0.1296000034	0.0863000005	0.1137999967
E8	361;500	0.1615999937	0.1665000021	0.1427000016	0.1580999941
E9	492;500	0.1620000005	0.1779000014	0.1499000043	0.177699998
E10	500;502	0.0790000036	0.0806000009	0.0781000033	0.0806000009
E11	BLANK	0.074000001	0.0742999986	0.0744000003	0.0732000023
E12	NA	0.0709000006	0.0713	0.0711999983	0.0711999983
F1	NA	0.0719999969	0.0728999972	0.0720999986	0.0724999979
F2	361	0.1495999992	0.1574999988	0.1261000037	0.1430999935
F3	502	0.0753000006	0.0775000006	0.0766000003	0.0747999996
F4	356;361	0.1694999933	0.1590999961	0.1572999954	0.1594000012
F5	356;502	0.2741000056	0.2788000107	0.277399987	0.2790000141
F6	360;492	0.123999998	0.139200002	0.143900007	0.1340000033
F7	360;519	0.363499999	0.3917999864	0.3312000036	0.3698000014
F8	361;502	0.1625999957	0.1712000072	0.1546999961	0.1561000049
F9	492;502	0.1701000035	0.1823000014	0.1536999941	0.1735000014
F10	500;519	0.3118000031	0.3668000102	0.3055000007	0.3488000035
F11	BLANK	0.0741000026	0.0763000026	0.0741999969	0.0741999969
F12	NA	0.0711999983	0.0732999966	0.0711999983	0.0716999993
G1	NA	0.0715999976	0.0722000003	0.0715000033	0.0734999999
G2	361	0.1571999937	0.1659999937	0.1351999938	0.1493999958
G3	502	0.074000001	0.0754999965	0.0762000009	0.074500002
G4	356;361	0.172999993	0.1605000049	0.1642999947	0.1600999981
G5	356;502	0.242899999	0.3068999946	0.3027000129	0.2975000143
G6	360;492	0.1262000054	0.1295000017	0.1418000013	0.1298000067
G7	360;519	0.4092999995	0.4219000041	0.4036999941	0.3644999862
G8	361;502	0.1570000052	0.1763000041	0.1544999927	0.1397999972
G9	492;502	0.1743000001	0.1823000014	0.1535000056	0.1694000065
G10	500;519	0.3443000019	0.3973999918	0.3318000138	0.3806000054
G11	BLANK	0.0742999986	0.0754999965	0.0741000026	0.074500002
G12	NA	0.0714000016	0.0737000033	0.0715999976	0.0710999966
H1	NA	0.0719000027	0.0720999986	0.0709000006	0.0715000033
H2	NA	0.074500002	0.0751999989	0.074000001	0.0741000026
H3	NA	0.0746999979	0.0768000036	0.0746999979	0.0747999996
H4	NA	0.0742999986	0.0741999969	0.0749000013	0.0746000037
H5	NA	0.0741999969	0.0744000003	0.0742999986	0.0737999976
H6	NA	0.0741999969	0.0741000026	0.0744000003	0.074000001
H7	NA	0.074000001	0.0744000003	0.074000001	0.0749000013
H8	NA	0.074000001	0.0746999979	0.0741999969	0.0738999993
H9	NA	0.0732999966	0.074500002	0.0736000016	0.0753000006
H10	NA	0.0737000033	0.0786999986	0.0744000003	0.0734999999
H11	NA	0.0742999986	0.0747999996	0.0742999986	0.0741000026
H12	NA	0.0711999983	0.0747999996	0.0715000033	0.0707999989
